id,date_short,party,party_2,name,sents
1829,3/19/2015,Liberal Democrat,Others,Vincent Cable,"supporting science was another positive step, as was the establishment of the low pay commission as a mechanism for deciding what is in the national interest as far as the minimum wage is concerned, and how we balance the perfectly natural wish of working people to see their wages rise with the overall interests of the economy and employment.what was alarming about the comments of the leader of the opposition yesterday was that he now wishes to turn that valuable inheritance into a political football. thanks to this government, the british people will at last have their say on british membership of the european union. the bank of england is of course independent, and any questions about publication should be directed to it."
1830,6/16/2015,Conservative,conservative,George Osborne,"the priority of the british government is clear: the best outcome for the uk economy is that we achieve major economic reform of the european union for the benefit of britain and for the whole of europe. that is why the prime minister and the rest of the government are now fighting hard to achieve that, and we are confident we will succeed. the bank of england may be operationally independent, but does the chancellor agree that parliament and the treasury committee are likely to see the bank as having a duty to share its thinking, at least as far as it affects its statutory objectives of monetary and financial stability, on the impact of the uk ™s membership of the eu?"
1831,6/16/2015,Conservative,conservative,George Osborne,"i welcome the hon. lady to her new position as shadow chief secretary   long may she continue in it. it is not for me or even, dare i say it, her to tell an independent bank of england what to do."
1832,6/16/2015,Conservative,conservative,George Osborne,"i have no doubt that it will engage in the debate. i have no doubt that the treasury committee, when it is formed, will want to ask the bank of england questions about the european union, because it is central to many of the bank ™s responsibilities. however, as i have said, we have an independent central bank and i propose to keep it that way."
1833,6/16/2015,Conservative,conservative,George Osborne,"i never thought that i would hear the member for kirkcaldy and cowdenbeath admit that the gold was sold off at the wrong price   i welcome the hon. gentleman to the house. with the royal bank of scotland we have a serious decision to make: do we continue to believe that at some point we might get back the money that the previous labour government put in, or do we take the advice of the independent reports that have been commissioned, and of the governorof the bank of england, which is that now is the right time to start selling rbs, and indeed that that might stimulate a higher share price?"
1834,6/16/2015,Conservative,conservative,George Osborne,"above all, it will help to support the british banking system. i think that as soon as we can get that business back into the private sector, the more we can support the general economy, and indeed give a great future for the rbs work force. with this it will be convenient to discuss the following:amendment 49, pageÂ 1,Â lineÂ 7,Â leave out  œ31 december  and insert  œ1 july the amendment would require the referendum to take place before 1 july 2017.amendment 50, pageÂ 1,Â lineÂ 8,Â leave out  œ2017  and insert  œ2016 the amendment would require the referendum to take place before 31 december 2016.amendment 4, pageÂ 1,Â lineÂ 8,Â at end insert    ˜(3a) no later than ten weeks before the date on which the referendum is to be held the secretary of state must lay before both houses of parliament an independent report by the office for budget responsibility on the implications for the sustainability of the public finances of the united kingdom leaving the european union. .the amendment would require the secretary of state to publish, ten weeks before the referendum, a report by the obr on the consequences of the united kingdom leaving the european union.amendment 5, pageÂ 1,Â lineÂ 8,Â at end insert    ˜(3a) no later than ten weeks before the date on which the referendum is to be held the secretary of state must lay before both houses of parliament a report on the consequences of the united kingdom leaving the european union for each ministerial departments ™ responsibilities. .the amendment would require the secretary of state to publish, ten weeks before the referendum, a report by each secretary of state on the consequences of the united kingdom leaving the european union for their areas of ministerial responsibility.amendment 6, pageÂ 1,Â lineÂ 8,Â at end insert    ˜(3a) no later than ten weeks before the date on which the referendum is to be held the secretary of state must ask for and lay before both houses of parliament any assessment made by the bank of england on the consequences of the united kingdom leaving the european union. .the amendment would require the secretary of state to publish, ten weeks before the referendum, any assessment by the bank of england on the consequences of the united kingdom leaving the european union.amendment 46, pageÂ 1,Â lineÂ 8,Â at end insert    ˜(3a) no later than ten weeks before the date on which the referendum is to be held the secretary of state must lay before both houses of parliament a report by the office for budget responsibility on the consequences for the transatlantic trade and investment partnership of the united kingdom leaving or remaining a member of the european union. the amendment would require the secretary of state to publish, ten weeks before the referendum, a report by the obr on the consequences for ttip of leaving or remaining a member of the european union.amendment 47, pageÂ 1,Â lineÂ 8,Â at end insert    ˜(3a) no later than ten weeks before the date on which the referendum is to be held the secretary of state must lay before both houses of parliament a report on the consequences for negotiations on the transatlantic trade and investment partnership of the united kingdom leaving or remaining a member of the european union. the amendment would require the secretary of state to publish, ten weeks before the referendum, a report on the consequences for negotiations on ttip of leaving or remaining a member of the european union.amendment 54, pageÂ 1,Â lineÂ 8,Â at end insert    ˜(3a) before appointing a day under subsection (2) the secretary of state shall lay before both houses a report on materials which any minister of the crown, government department or local authority or any other person or body whose expenses are defrayed wholly or mainly out of public funds or by any local authority intend or expect to publish in the period of 28 days ending with the date of the referendum that   (a) deals with any of the issues raised by any question on which the referendum is being held;(b) puts any argument for or against any particular answer to any such question; or(c) is designed to encourage voting at the referendum. this amendment requires the government, prior to setting a date for the referendum by regulations subject to the affirmative procedure, to publish a report on what publications which would normally be prohibited by section 125 of the political parties, elections and referendums act 2000 the government intends or expects to publish in the four weeks before the referendum.amendment 11,Â pageÂ 17,Â lineÂ 37, in schedule 1, leave out paragraph 25 and insert   25 (1) section 125 of the 2000 act (restriction of publication etc of promotional material by central and local government etc) applies in relation to the referendum during the referendum period with the following modification.(2) section 125(2)(a) of the 2000 act has effect for the purposes of the referendum as if, after  œcrown , there were inserted  œincluding ministers in the scottish government, the welsh government, the northern ireland executive and her majesty ˜s government of gibraltar . the purpose of the amendment is to apply the  œpurdah  arrangements that govern ministerial and official announcements, visits and publicity during general elections to the campaign period before the referendum.amendment (a),Â leave out  œmodification  and insert  œmodifications amendment (b),Â lineÂ 8 at end add    ˜(3) section 125(2) of the 2000 act has effect for the purposes of the referendum with the addition of subsection    œ(e) advocacy on any issue having a bearing on the outcome of the referendum  new clause 3   restriction on publications etc    ˜(1) this section applies to any material, which   (a) provides general information about the referendum,(b) deals with any of the issues raised by the referendum question,(c) puts any arguments for or against any outcome, or(d) is designed to encourage voting at the referendum.(2) subject to subsection (3), no material to which this section applies is to be published during the relevant period by or on behalf of   (a) the uk government,(b) the house of commons or house of lords,(c) the devolved administrations,(d) any local authority,(e) public bodies, or(f) the european commission and european parliament.(3) sub-paragraph (2) does not apply to   (a) existing material made available to persons in response to specific requests for information or to persons specifically seeking access to it, or(b) anything done by or on behalf of   (i) a designated organisation,(ii) the electoral commission, or(c) the chief counting officer or any other counting officer, or(d) the publication of information relating to the holding of the poll.(4) in this paragraph    œpublish  means make available to the public at large, or any section of the public, in whatever form and by whatever means (and  œpublication  is to be construed accordingly), œthe relevant period  means the period of 28 days ending with the date of the referendum.(a) a breach of the rules set out in this section, will be an offence.(b) a person guilty of an offence under this section, is liable   (i) on conviction on indictment, to a fine;(ii) on summary conviction in england and wales, to a fine;(iii) on summary conviction in scotland or northern ireland, to a fine not exceeding the statutory maximum;(iv) on summary conviction in gibraltar, to a fine note exceeding level 5 on the gibraltar standard scale. the new clause prescribes a period of  œpurdah  in the four weeks before the referendum.new clause 4   referendum fairness board    ˜(1) there shall be a committee of privy counsellors, to be called the referendum fairness board, whose duty is to consider any alleged breach of section (restriction on publications etc) which comes attention of any of its members.(2) each of the following presiding officers for the time being may appoint any privy counsellor as a member of the board   (a) the speaker of the house of commons,(b) the lord speaker,(c) the presiding officer of the scottish parliament,(d) the speaker of the northern ireland assembly, or(e) the presiding officer of the national assembly for wales.(3) the board shall prescribe its own rules of procedure, which must include procedures for   (a) instituting legal action to interdict or injunct any further breach or repetition of an alleged breach, and(b) drawing to the attention of the relevant prosecuting authority any serious or continuing breach of section (restriction on publications etc). the new clause provides for swift enforcement of the  œpurdah  rules which would apply under the linked new clause in the four weeks leading up to the referendum."
1835,6/16/2015,Labour,labour,Pat McFadden,"the point is that right across the piece    whether trade, university research or farming and agriculture    there is a strong case for each department producing a report on the implications of exit, as amendment 5 calls for.amendment 6 deals with the bank of england assessment. gentleman is absolutely correct that the bank of england is independent   in my estimation, it is one of the relatively few public authorities in the uk that keeps to that independence   but that creates a difficulty. if the bank were to make an assessment coming down heavily in favour of the uk remaining part of the eu and warning of alarming consequences if it left, but the electorate voted the other way, the bank would be left trying to deny its own previous warnings about the credibility of the currency and a range of other things."
1836,6/16/2015,Conservative,conservative,Kenneth Clarke,"member for wolverhampton south east (mr mcfadden) proposes. he suggests that those pre-eminently independent bodies, the bank of england and the office for budget responsibility, should be, as it were, enjoined by this bill to produce those reports, which is quite attractive. i have the highest regard for the bank of england and the office for budget responsibility."
1837,11/5/2015,Labour,labour,Richard Burgon,"how we treat rbs now will demonstrate whether we have learned the lessons of the crisis    monetary policy has been run by the bank of england independently, and i am sure that the scottish national party will continue to support the bank ™s independence against the inflationary tendencies of the hon. member for hayes and harlington (john mcdonnell)."
1838,12/1/2015,Conservative,conservative,George Osborne,"alongside that, we have made the isa more generous and have created new pension flexibility, so that people can get the most out of their pension savings. the low interest rates, decided independently by our central bank, are part of the vital support for our economy going forward. gentleman is absolutely correct that the bill focuses specifically on the role of the national audit office, one independent arm of government, and the bank of england, another independent agency."
1839,2/1/2016,Conservative,conservative,Harriett Baldwin,"the bill does not particularly focus on the role of auditors in private companies, but i am sure other parts of parliament will consider that in this session.i turn first to the reforms that the bill will make to the bank of england. this is not simply an academic concern. we are potentially enabling a governor to pack his board with worthies happy to do his bidding and thereby outweigh the influence of the bank ™s independent directors.as mark carney begins the second half of his term, we have seen in the past week the swooning of the financial press over mario draghi ™s decisive actions aspresident of the european central bank."
1840,2/1/2016,Conservative,conservative,Mark Field,"this cult of the central banker is nothing new   it goes back to the 1920s and the greater control central banks had in the aftermath of world war one   but i have long been sceptical about the practicality, or even the desirability, of fully fledged bank of england independence. in the final analysis, strategic economic decision making must lie with elected politicians operating within financially responsible ministries. the co-ordination of monetary and fiscal policy is vital in any economic policy."
1841,2/1/2016,Plaid Cymru,Others,Jonathan Edwards,"i understand that the central bank is politically independent, but there is obvious co-ordination between the treasury and the central bank. similar protocols and links need to be developed with the welsh, scottish and northern irish exchequers. i am not sure that cag access will be enough."
1842,2/1/2016,Labour,labour,Helen Goodman,"the bank of england is independent in its existing judgments with respect to monetary, financial and prudential matters, and that is how it should be, but it is also democratically accountable. i believe citizens will be able to exercise their democratic rights only if we make the bank subject to the freedom of information act. member for wolverhampton south west (rob marris) say that he is not satisfied with the creation of the system of regulation that was rightly criticised in 2005 and resulted in the financial crash on labour ™s watch."
1843,2/1/2016,Conservative,conservative,Harriett Baldwin,"in fact, labour members, by declining to give this bill a second reading tonight, are showing once again that they would be a risk to the livelihoods of everyone, most especially the poorest and the oldest, if they were ever to return to power, because their shadow chancellor opposes giving a second reading to this entirely sensible bill due to his opposition to the independence of the bank of england   gordon brown ™s best decision. his reasoned amendment says that œthe bill fails to increase oversight and accountability of the work of the bank of england .i thought it might be interesting to see exactly what the shadow chancellor means by that. in setting up his review of monetary policy, he said: œperhaps we should be even bolder, creating a national investment bank and using newly printed money to fund it. he does not need me to criticise that as a terrible idea that would cause inflation   he should look no further than his predecessor as shadow chancellor, the hon."
1844,2/1/2016,Conservative,conservative,Harriett Baldwin,"member for nottingham east (chris leslie), who said: œprinting money and ending bank of england independence would push up inflation, lending rates, squeeze out money for schools and hospitals and mean spending more on debt servicing. higher inflation and a higher cost of living would hit those on the lowest incomes, the poorest people who couldn ™t afford those goods and services. that is the reality of the opposition ™s economic policies with regard to the bank of england. i do worry about the hon."
1845,2/1/2016,Conservative,conservative,Harriett Baldwin,"lady sometimes, because she is again criticising the decisions of the independent bank of england.that is before we get to the opposition ™s other policies, such as bringing back secondary picketing, banning dividends, and nationalising businesses without compensation. even danny blanchflower, the head of the independent review that the shadow chancellor has set up to look at the remit of the bank of england    danny is what he seems to like to go by."
1846,2/1/2016,Conservative,conservative,Harriett Baldwin,"he said in a recent article for the new statesman: œwe are in search of good ideas ¦the new labour party still doesn ™t have many economic policies to speak of...the new labour leaders are not economists and are going to have to learn fast. this debate shows that they have not learned anything.while the snp ™s reasons for opposing the bill ™s second reading show some common ground with labour ™s, the snp is at the other end of the spectrum in thinking that the bill fails to provide sufficient independence from direct political interference for the bank of england. they cannot both be right; indeed, they are both wrong. the bill strikes the right balance on operational independence at the bank of england and the fca, and scrutiny by the people in the form of the treasury committee and the elected government.i will now address some of the points raised in the debate."
1847,2/1/2016,Conservative,conservative,Harriett Baldwin,i noticed that the hon. the first is the feeling that the fsa ™s independence has been compromised and that its agenda is being set by political pressure from the government. such independence was called into question by a recent external review that said the fsa board ™s powers œwith respect to making independent decisions were limited and that external interventions œcan have dramatic effects on the organisation .this coincided with stories in the media that the bank of england was directly involved in the highly criticised decision by the fsa to axe the review into the culture at some of the uk ™s biggest banks.then there is the chancellor ™s influence over sacking or appointing chief executives to the fsa.
1848,3/1/2016,Conservative,conservative,George Osborne,"the idea that the us treasury secretary, the head of the international monetary fund and, indeed, the governor of the central bank of china dance to a british tune is, i am afraid, fanciful. governors  of central banks and the finance ministers of the g20 are saying the same thing as every major independent economic institution: that a british exit would cause an immediate economic shock and have longer economic costs. i totally understand why many of the people advocating exit want to do so, but, to be frank, they accept that there would be a short-term and potentially long-term economic cost."
1849,3/16/2016,Conservative,conservative,John Redwood,"is not one of the problems faced by any government the fact that the so-called independent forecasts by the obr and the bank of england are always wrong and that they are always changing them? those forecasts can have more of an impact on the budget than common-sense judgments about where the economy is going, because we are always dealing with the errors of the obr. in my party, we have always maintained that we need to split retail and investment banking."
1850,3/16/2016,Plaid Cymru,Others,Jonathan Edwards,"it is interesting that sir mervyn king, the former governor of the bank of england, and sir john vickers, the chair of the independent commission on banking, which was set up following the crash in 2008, have called for greater safeguards and criticised the treasury for watering down plans to rein in the banks and reduce the risk of a future banking collapse. given the darkening global economic skies and the possible exposure of london banks to the slowdown in emerging markets, we were very disappointed that there were no measures in the budget to protect the public from another banking failure.we are also very disappointed that there was no guarantee in the budget that welsh public sector pension assets would be pooled into a welsh-specific fund for investment in welsh infrastructure. it is important to recognise the reputation associated with a name built up over such a long period."
1851,4/19/2016,Conservative,conservative,Harriett Baldwin,"during that time, the bank has come to be globally renowned as a strong, independent central bank. we should not underestimate the importance of that. obviously the central bank is independent, but there is undoubtedly co-ordination with the treasury, as would be expected."
1852,5/19/2016,Labour,labour,John Healey,"by the way, that is still 24% below the peak during labour ™s 13 years in office. because growth in new house building has been so sluggish under this government   astonishingly, it has been only 2% on average since 2010   if they do not improve that run rate, they will not hit their target until 2033.some of the best policies are bigger than party politics and capable of commanding a broad consensus, such as bank of england independence, the national planning act for major infrastructure projects and the localisation of council housing finance. under the neighbourhood planning and infrastructure bill, there is a welcome commitment to put the national infrastructure commission on a statutory footing."
1853,5/25/2016,Conservative,conservative,Alun Cairns,"the welsh economy is showing some spectacular employment figures at the moment, with more people in work than ever before, the claimant count falling and an unemployment rate well below the uk average. this economic success is based on a stable economic policy, and all the independent forecasts from the oecd, the imf, the governor of the bank of england and my right hon. friend the chancellor show that there would be a negative impact should we leave the single european market."
1854,5/25/2016,Conservative,conservative,Alun Cairns,"friend is of course failing to recognise that independent forecasters   whether the imf, the oecd or the governor of the bank of england   have talked about the negative impact brexit would have on the welsh economy. a Â£2 billion reduction in the scale of the economy, costing 24,000 jobs, is a step we cannot afford to take. i do not believe that that uncertainty is a price worth paying."
1855,6/15/2016,Labour,labour,Caroline Flint,"unless the governor of the bank of england and almost every independent economic forecaster are wrong, the uk will lose business, trade, jobs and investment if we leave, landing the government with lower tax revenues. that means less money for our hospitals and schools. the shadow chancellor raised questions about monetary policy."
1856,6/29/2016,Conservative,conservative,George Osborne,"obviously the bank of england is independent. the mpc set out the challenging trade- off it might face between a fall in output and a rise in inflation. we must now respond to developments in the real economy, which will require a supreme national effort.first, we must look to support demand and ensure that credit flows freely in our economy."
1857,7/4/2016,Conservative,conservative,George Osborne,"the governor of the bank of england said on friday that œsome monetary policy easing will likely be required over the summer .thanks to the reforms that i introduced, the independent bank of england has the tools that it needs to act against the cycle and support lending in the economy. the financial policy committee will publish its decisions tomorrow, and we stand ready in the treasury to act in concert with the bank of england should more need to be done to support funding for lending.the second part of our national effort must be to maintain britain ™s fiscal credibility. a number of other tools, including counter-cyclical financial tools, are available, which means that there is a range of options to deploy."
1858,7/4/2016,Conservative,conservative,George Osborne,"over the coming weeks, we will hear whether, how and why the bank of england, which is independent in its decision making, needs to deploy those tools.i am rather disappointed that the snp spokesman has not reminded us that it was snp policy to cut corporation tax. indeed, that has been its policy for year after year. gentleman for giving us the opportunity to discuss it.let me begin by setting out briefly the bank of england ™s role in the monetary policy of this country."
1859,9/15/2016,Conservative,conservative,Simon Kirby,"the first thing to stress is that the bank of england, and its monetary policy committee, are rightly independent from the government. the mpc holds responsibility for setting monetary policy to meet its clearly defined objectives, as set out in law. he talked about how there was going to be hyperinflation and it did not happen, and about how the whole issue of qe was hotly debated at the time."
1860,9/15/2016,Conservative,conservative,Simon Kirby,"i imagine that it is something that we will continue to hotly debate for some time.to conclude, the independent mpc of the bank of england has a hugely important role to play in these difficult times in maintaining monetary stability in this country. it has taken a range of steps to achieve this objective and will be closely monitoring the impact of this action. we have already seen that the consequences of the referendum, at least in the short term, will not be as severe as it imagined."
1861,10/17/2016,Conservative,conservative,Robert Jenrick,"i hope the bank of england   of course, it is independent   does not reduce interest rates further, and that we can now move away from the policy of quantitative easing as soon as possible for many reasons, but particularly for the sake of pensioners and savers.i want the government to create a long-term strategy on saving that tries to change the culture in this country towards looking to the future and putting money aside. the government need to back that in many ways, some of which will involve extremely difficult decisions. i welcomed those forecasts at the time and held to them throughout the past year."
1862,3/8/2017,Conservative,conservative,John Redwood,"i am delighted that the treasury has now largely backed those more sensible forecasts.however, we need to ask why the treasury, the office for budget responsibility, the bank of england and many other independent forecasters got the forecasts so comprehensively wrong in the summer of 2016, and why the autumn statement forecasts were still so wrong at the end of last year. i wonder whether we need some efficiency improvements in their economic forecasting departments. gentleman misstates the position."
1863,7/18/2017,Conservative,conservative,Steve Barclay,"it is an independent responsibility of the bank of england to address that    [interruption.] it is. it is of course an area where there will always be frequent discussions with the treasury, but it is a bank of england matter. that is one of the reasons why we need to make sure that we are reducing our debt and reducing our deficit in order to reduce the interest payments that came as a result of the previous labour government leaving us with the highest deficit in history."
1864,10/24/2017,Conservative,conservative,Elizabeth Truss,"we have an independent bank of england, and it is very important that as a government minister i do not tell it what to do on interest rates. yes, from north wales   even better. the chancellor has also delivered a budget at a time when growth has slowed because of the initial impact of the brexit vote: devaluation and the effect of that on consumer demand.the background is also one in which monetary policy is not of much assistance."
1865,11/28/2017,Conservative,conservative,Kenneth Clarke,"because of the actions the independent bank of england had to take after the crisis, we are still being sustained by the aftermath of quantitative easing and quite artificially low interest rates, with the governor having little opportunity to move rapidly to get back to something like normality. those interest rates are actually having a distorting effect on some aspects of the markets inside this country. on the particular point about tertiary legislation and the financial regulation system, i feel sure that when the hon."
1866,12/12/2017,Conservative,conservative,Steve Baker,"lady and i served together on the treasury committee she would have been as indefatigable a defender of the independence of the bank of england as i would have been. surely she does not want to undermine that. in the latest round, the banks came through very strongly   not a single one failed."
1867,12/18/2017,Conservative,conservative,Mel Stride,"the tests stress the system to a greater extent than the effect of the last financial crash in 2008, so we can be certain that the measures the government have put in place, the operation of the independence of the bank of england and carrying those things through are having the desired effect that he rightly seeks. i, too, look forward with great interest to hearing from opposition front benchers. has not part of the government ™s overall approach been to back the independence of the bank of england?"
1868,12/18/2017,Conservative,conservative,Rachel Maclean,"has that not also helped the overall regulation of banks, and ended the situation which, under labour, led to some of the problems in the banking sector? since then, of course, we have fundamentally changed the structure of the oversight of banks. we have ensured that the bank of england is at the heart of it, and that the independence of the bank and the other institutions that we have set up is paramount."
1869,12/18/2017,Conservative,conservative,Mel Stride,"that is partly why the position of the banks is so much stronger than it has been hitherto.we prevented the banks from reducing their corporation tax liabilities when they were required to pay compensation for misconduct, effectively applying additional taxes. lady wants to take back to the conservative party the independence of the bank of england, she should feel free. we will not support it     [interruption.] that is what i heard her say."
1870,12/18/2017,Labour,labour,Peter Dowd,"she was complaining about the independence of the bank of england. so a new policy has been introduced by the conservatives to take away the independence of the bank of england.to offset the cuts to the bank levy, the government introduced the 8% corporation tax surcharge, which they falsely claimed would offset the reduction. if we look at their red book and the forecasts from the office for budget responsibility, however, we can clearly see that the surcharge will not make up the fall in the bank levy."
1871,1/23/2018,Labour,labour,Bridget Phillipson,"it is also worth stressing that this appointment represents one of 10 places on the board, four of whom were nominated by the main political parties. as the leader of the house set out, the appointments panel was composed of joanna place, the chief operating officer at the bank of england, who served as our independent chair; sir john holmes, the chair of the electoral commission; and me, as the representative of the speaker ™s committee on the electoral commission.with the support of independent consultants, and following an open advertisement, a long list and short list were drawn up. five very strong candidates were selected for interview, and following a comprehensive and lengthy interview process, the panel concluded that professor sir ian kennedy was the strongest candidate, and unanimously recommended his appointment."
1872,7/3/2018,Conservative,conservative,Philip Hammond,"friend asks about parliament ™s role in dealing with the onshoring of a very large number of financial services regulations. some of them will be dealt with through a parliamentary process, but other areas of financial services regulation are dealt with by the independent regulators   the financial conduct authority and the bank of england. i will write to her and give her as much detail as i can about how that will break down between the different categories."
1873,10/30/2018,Conservative,conservative,Neil O'Brien,"let us not promise people things we cannot deliver.thirdly, let us not be complacent about managing our debt. sometimes people say,  œoh well, after the second world war we had huge debts that were 250% of gdp and that was fine.  i say to them that we used to have 25% inflation in this country, which cut through our debts pretty quickly, we did not have index-linked debt and we did not have an independent central bank. we must recognise in this house that if we run up big debts, it will be much more difficult than it ever was before to get them down."
1874,12/6/2018,Labour (Co-op),labour,Barry Sheerman,"lady for an early debate on the status and respect given to the bank of england and its governor? i have been in this house for quite some years, and i cannot remember a time when ministers have so reviled the governor of the bank of england   undermining the work that the bank is doing in independently telling us that there is no deal better than staying in the european union. can we have a debate on how the bank of england   this wonderful institution   can get back to full respect from all parties in this house?"
1875,1/14/2019,Labour (Co-op),labour,Barry Sheerman,"i campaigned to remain and i remain convinced that we should be in the european union.on a micro-level, on a bottom-up level, my sacred duty as a member of parliament is to come to this place to make sure that the health, welfare and prosperity of my constituents are not harmed in any way   that they are improved. every piece of evidence that i have seen from the bank of england, the london school of economics, and the independent think-tanks convince me that i was right when, as chairman of a select committee for 10 years, i believed that evidence-based policy was the best kind of policy. all the evidence  shows that my constituents, on any deal, will be worse off and poorer out of the european union than in the european union.this deal does not deliver what we need or want."
1876,2/7/2019,Conservative,conservative,Alan Duncan,"looking at the pictures we saw on our screens yesterday, i think it inevitable that there will be ever-deepening popular outrage in venezuela itself that is likely to express itself increasingly strongly if maduro remains in denial about humanitarian aid to the point of blocking it and forcing his people to starve in front of the world ™s television cameras at the border.on gold, there are gold reserves held by the bank of england. it holds them under a contract; it is entirely down to the bank, as an independent bank of england. it is nothing to do with this government."
1877,7/2/2019,Conservative,conservative,James Cartlidge,"friend the chancellor confirm that he is absolutely committed to maintaining the independence of the bank of england? yes, it is a vital cornerstone of our institutional structure that the bank of england remains independent, and those who have suggested that they would seek to politicise appointments to the bank of england would be doing a great disservice to this country and our economy. that means more border force staff, better transport infrastructure at our ports and more support for business readiness."
1878,9/4/2019,Conservative,conservative,Sajid Javid,"i have tasked the treasury with preparing a comprehensive economic response to support the economy if needed, and will work closely with the independent bank of england to co-ordinate fiscal and monetary policy.sensible economic policy means that we should plan for both outcomes, and we are doing so, but we should be careful not to let our focus on planning and preparedness distract us from the opportunities that lie ahead. brexit will allow us to reshape the british economy and reaffirm our place as a world-leading economic power. gentleman should know that the bank of england is independent, and therefore monetary policy decisions are independent."
1879,10/1/2019,Conservative,conservative,Sajid Javid,"i know that his friends on the opposition front bench do not recognise or respect that, but it is a very important part of our economic system. there is some concern that the way central banks have done it has not led to a fair distribution of prosperity and that the money has gone into a small number of hands, resulting in increased inequality.i am slightly worried by something that the right hon. gentleman said about monetary policy that might imply   he might disagree that this was his implication   that there should be some challenge to the independence of the central bank by the government of the day."
1880,12/19/2019,Liberal Democrat,Others,Ed Davey,"i would not welcome that, although i would certainly welcome a debate on quantitative easing. but it is important that we update our fiscal framework to remain at the leading edge of international best practice. our economic security depends on maintaining the following principles: low and stable inflation, delivering price stability; fiscal sustainability; and independent, effective institutions like the bank of england and the obr."
1881,3/11/2020,Conservative,conservative,Rishi Sunak,"these features of our framework will always be protected. the combination of what was set out this morning by the bank of england was welcome   both the interest rate cut and, more importantly, the credit easing, enabling the financial sector to be able to support sound businesses that are fundamentally in good shape but that are going to have an economic shock caused by the coronavirus, both on the demand and supply sides. it was very encouraging to hear of the close co-operation between an independent central bank and the treasury to make sure that both fiscal and monetary policy are being used to deal with the crisis.both individuals and businesses listening to the budget will welcome the many changes that the chancellor set out   the three big areas he set will be very welcome across the country, including in my constituency."
1882,3/11/2020,Conservative,conservative,Mark Harper,"one key issue that he set out, which i think is on the front page of the red book and which he referred to when he was doing some media interviews at the weekend, was trust. we need to make sure we come up with a solution that can be delivered so that it makes a difference to people quickly, which is why i am happy to work closely with unions and business groups to see what will make the most sense.on international leadership, i say to the right hon. gentleman that it was widely noticed by other countries that last week, in this country, we saw both monetary and fiscal policy   the government and the bank of england working independently but in a co-ordinated fashion to provide significant support and confidence to the economy."
1883,3/17/2020,Conservative,conservative,Rishi Sunak,"that was acknowledged by people, including the international monetary fund, which noticed what happened here and pointed at it as an example for others to follow.on the scale of our response, i ask the right hon. i think we need to do that, because we need to unpick some deep issues here and i do not think this house has understood that. although i am a big fan of the independent bank of england, and i do not think we should interfere with the setting of interest rates, i do think qe raises some political questions which are not technical and require accountability."
1884,5/11/2020,Conservative,conservative,Jeremy Hunt,"i support the government ™s caution about lifting lockdown, and i commend the prime minister for being honest about the complex choices we face.i want to focus my comments on the quality of scientific advice received by ministers. we used to have similar secrecy over the interest rate advice that was given to the chancellor. in 1997, the bank of england was made operationally independent, lines of accountability were clarified and advice was made transparent."
1885,5/11/2020,Conservative,conservative,Jeremy Hunt,"since then, inflation has not troubled the british economy. taken together, in just two months our economy contracted by 25%, the same amount that it grew by in the previous 18 years. and the independent office for budget responsibility and bank of england are both projecting significant  job losses, the most urgent challenge we now face."
1886,7/8/2020,Conservative,conservative,Rishi Sunak,"i want every person in this house and in the country to know that i will never accept unemployment as an unavoidable outcome. friend has, like roosevelt, given a masterclass in economic interventionism, but it is quite expensive. can he reassure me that he has a contingency in case the independent bank of england needs to change its stance on monetary policy because inflation begins to rise?"
1887,7/13/2020,Scottish National Party,Others,Kenny MacAskill,"scots were told that remaining in the union and brexit would assure scotland of a powerful voice in the world, while independence would mean being a small nation without influence, like ireland. i would like to wish all celebrating the hindu new year a happy navratri and the sikh community a happy vaisakhi today. 
 the bank of england is rightly independent of the government."
1888,4/13/2021,Labour,labour,Navendu Mishra,"can the minister confirm whether or not bank of england officials were requested by the treasury to make amendments to its covid corporate financing facility to suit greensill capital after the former prime minister had texted the chancellor? we are also supposed to be grateful about the 2% cut to national insurance contributions, and that the tories have so they claim reduced inflation from 11.4%, even though they were partly responsible for the high rate because of the disastrous mini-budget and the impacts of brexit. it is curious that the government tell us that they are not responsible for high inflation as it is a global issue, and that high interest rates are set by the wholly independent bank of england, but now that inflation is falling, we are to believe from the autumn statement that the government ™s actions have brought  it down."
1889,11/23/2023,Scottish National,Others,Alan Brown,"the government appear to be responsible for inflation rates only when it is good news and they are going down that is quite a trick. that is Â£1 billion that could have been spent on energy efficiency measures, infrastructure or even further energy support schemes. the bank of england sets interest rates independently, but economic inactivity and the wider state of the labour market is a feature of our economy that will influence whether the prime minister is able to meet his promise to halve inflation."
1890,6/19/2023,Labour Party,labour,Alison McGovern,"can the secretary of state tell us exactly what targets have been agreed by his department with the treasury on the role of the labour market in reducing inflation? friend knows, monetary policy is the responsibility of the independent monetary policy committee and the bank of england. we will continue to work closely with them to ensure that monetary and fiscal policy are well co-ordinated."
